accelerator,Model,Features,avg_mae,std_mae,avg_r2,std_r2,avg_train_time_sec,std_train_time_sec,avg_infer_time_sec,std_infer_time_sec,avg_peak_cpu,std_peak_cpu,avg_peak_memory_mb,std_peak_memory_mb,avg_peak_gpu_util,avg_peak_gpu_memory_mb,file,cpu_train_time,cpu_infer_time,speedup_train_vs_cpu,speedup_infer_vs_cpu
GPU_NVIDIA_L4,MLP,Enhanced_2,41.12332122472672,2.219792737757948,0.3789372904962479,0.0632221279768732,0.7270892867999464,0.0434359227934794,0.0014114650000465,0.0001276041876018,170.34,61.22604021166157,6509.5953125,212.86134282204785,0.0,2496.0,kfold_avg_GPU_NVIDIA_L4_20260129_173718.csv,0.7814394345999517,0.0015322878000006,1.0747503075436722,1.0856009890079596
GPU_NVIDIA_L4,RF,Baseline,43.00397094255337,0.8322454118490892,0.3201020351376006,0.0411836216459741,1.6311445853999884,0.8283601730597252,0.0409609568000178,0.0115281968335314,328.92,54.87606035422003,6034.73828125,1070.373404224921,0.0,1997.4,kfold_avg_GPU_NVIDIA_L4_20260129_173718.csv,2.5654461229999925,0.0731401759999698,1.5727889151965613,1.7856071174572274
GPU_NVIDIA_L4,RF,Enhanced,38.05305597472176,1.393841721167525,0.462433270452658,0.0401419144785025,1.7495860601999538,0.1119948657628504,0.0414590286000475,0.0117799182602759,544.54,104.94950214269716,6406.8796875,308.94376506499395,1.6,2418.2,kfold_avg_GPU_NVIDIA_L4_20260129_173718.csv,2.8394416431999616,0.0632411600000068,1.622921962967316,1.525389333408896
GPU_NVIDIA_L4,RF,Enhanced_2,39.766430832186295,1.298784732231063,0.4212401800945528,0.0326594879511111,1.868434357599972,0.1877526879679957,0.0414247488000455,0.0105855816250018,577.36,172.08665840209696,6506.15703125,216.7169128542524,1.8,2496.0,kfold_avg_GPU_NVIDIA_L4_20260129_173718.csv,3.152368739400026,0.061304648999976,1.6871712546804611,1.4799039408999064
GPU_NVIDIA_L4,XGB,Baseline,43.946343908907735,1.4870670759044284,0.3051694981093147,0.0444573989653287,0.6172948322000138,0.9086468785622804,0.0032232313999884,0.0015286658306194,278.52,449.6732224627124,6343.6703125,397.5417462827477,3.4,2407.8,kfold_avg_GPU_NVIDIA_L4_20260129_173718.csv,1.1778321322000012,0.0057886956001311,1.908054418667746,1.7959292653180075
GPU_NVIDIA_L4,XGB,Enhanced,39.224923932157125,1.1209064145627177,0.4461169448176141,0.0449485773881463,0.3517967776000205,0.0119518101649656,0.0025943624000319,6.285946507847949e-05,96.02,138.28531013813432,6455.67578125,214.22918835117116,0.6,2492.8,kfold_avg_GPU_NVIDIA_L4_20260129_173718.csv,0.4681875583999499,0.004666969200025,1.330846637066873,1.7988886980352534
GPU_NVIDIA_L4,XGB,Enhanced_2,39.5373673675821,1.0472642419424694,0.4412492815509575,0.0413964670404317,0.4116018010000061,0.1253122777860175,0.0069882968000001,0.009557175870229,238.0,363.7411854602115,6508.36640625,213.38577442464768,0.0,2496.0,kfold_avg_GPU_NVIDIA_L4_20260129_173718.csv,0.4354273029999603,0.0038547513999674,1.0578848341821367,0.5516009852311002
GPU_Tesla_T4,LSTM,Baseline,51.580626863948645,0.9990232913148582,0.0769902944497572,0.0358121418524119,16.13262915620003,2.272005777679699,0.0929890441999759,0.003643643091339,205.9,83.26394778053705,5171.9109375,216.53362605767293,46.4,954.8,kfold_avg_GPU_Tesla_T4_20260129_174544.csv,17.84455051499999,0.1287572463999822,1.1061154596826546,1.384649638113127
GPU_Tesla_T4,LSTM,Enhanced,43.05594245537343,1.850807519270173,0.3088136316621109,0.0574733243932784,15.03069794659998,0.2387727274107775,0.0910872695999387,0.003601642103997,186.84,57.27139774791601,5208.58984375,202.29264747808767,47.8,954.8,kfold_avg_GPU_Tesla_T4_20260129_174544.csv,17.904015518200005,0.1303511029999754,1.1911632834222434,1.4310573099016588
GPU_Tesla_T4,LSTM,Enhanced_2,44.112372892027885,2.329699549404539,0.2838074191580492,0.0651537793364786,14.95001775259998,0.1336459223883348,0.0899856673999693,0.0036966438926178,151.34,5.991911214295489,5266.884375,206.050141400532,47.8,958.0,kfold_avg_GPU_Tesla_T4_20260129_174544.csv,17.731048529600002,0.1306449068000802,1.186021904657362,1.4518412828943998
GPU_Tesla_T4,MLP,Baseline,55.87452826199166,1.3078656123690309,-0.0451267334697734,0.1355089813046437,0.719904906399961,0.0717447997589977,0.0013523477999569,0.0001115160756429,138.54000000000002,82.15511548284745,5123.63515625,237.9955993469893,0.4,946.8,kfold_avg_GPU_Tesla_T4_20260129_174544.csv,0.7070906377999109,0.0014072222000777,0.9822000538041468,1.0405771356470197
GPU_Tesla_T4,MLP,Enhanced,41.17159113509587,1.770790201346605,0.3807349261841094,0.0464557423338952,0.796944714600022,0.0827048603097167,0.0013674881999122,0.0001187461771317,105.34,4.554448374940697,5163.82421875,196.44228954101803,0.0,954.8,kfold_avg_GPU_Tesla_T4_20260129_174544.csv,0.7672539487999529,0.0015330594000261,0.9627442590983609,1.1210768766593602
GPU_Tesla_T4,MLP,Enhanced_2,41.12332122472672,2.219792737757948,0.3789372904962479,0.0632221279768732,0.8139612446000228,0.0533663496478921,0.0013966978000098,0.0001538944770815,249.8,246.5561497914826,5209.23515625,202.70415307539017,0.0,954.8,kfold_avg_GPU_Tesla_T4_20260129_174544.csv,0.7814394345999517,0.0015322878000006,0.9600450141627416,1.0970789815734288
GPU_Tesla_T4,RF,Baseline,43.00397094255337,0.8322454118490868,0.3201020351376006,0.0411836216459742,2.1514264669999874,1.1883906147523495,0.0518462115999909,0.0128758878581253,323.56,66.50866860793411,4902.6984375,701.4053572159436,0.0,766.8,kfold_avg_GPU_Tesla_T4_20260129_174544.csv,2.5654461229999925,0.0731401759999698,1.1924396033750233,1.4107139893704912
GPU_Tesla_T4,RF,Enhanced,38.053055974721765,1.3938417211675251,0.462433270452658,0.0401419144785025,2.488982885200039,0.147109785068209,0.0467941860000337,0.0119559005568136,663.88,47.75093716357828,5161.63359375,198.12505775041677,2.8,954.8,kfold_avg_GPU_Tesla_T4_20260129_174544.csv,2.8394416431999616,0.0632411600000068,1.140804004753836,1.3514747323516059
GPU_Tesla_T4,RF,Enhanced_2,39.76643083218629,1.2987847322310635,0.4212401800945528,0.0326594879511111,2.649251826800037,0.1580143497141115,0.0453538008000123,0.0112769119125552,672.02,73.25706109311238,5207.603125,203.9779474942448,3.2,954.8,kfold_avg_GPU_Tesla_T4_20260129_174544.csv,3.152368739400026,0.061304648999976,1.1899090556474925,1.3516981580066245
GPU_Tesla_T4,XGB,Baseline,43.946343908907735,1.4870670759044284,0.3051694981093147,0.0444573989653287,0.4902575447999879,0.3741106744982484,0.0028500990000338,0.0012101279552435,236.22,324.9105061397677,5122.35234375,239.974234936863,4.4,946.8,kfold_avg_GPU_Tesla_T4_20260129_174544.csv,1.1778321322000012,0.0057886956001311,2.4024762998405778,2.0310507108919555
GPU_Tesla_T4,XGB,Enhanced,39.224923932157125,1.1209064145627177,0.4461169448176141,0.0449485773881463,0.4686592843999733,0.1194966945087908,0.0055123206000416,0.0067378757504305,106.92,204.20844008022783,5162.41875,197.3667219362385,0.0,954.8,kfold_avg_GPU_Tesla_T4_20260129_174544.csv,0.4681875583999499,0.004666969200025,0.9989934564069773,0.8466432812325502
